Chromosome/scaffold name	Gene stable ID	Gene start (bp)	Gene end (bp)	Gene name
1	ENSG00000066027	212458879	212535200	PPP2R5A
1	ENSG00000066056	43766664	43788779	TIE1
1	ENSG00000066135	44115829	44171186	KDM4A
1	ENSG00000066136	41157320	41237275	NFYC
1	ENSG00000066185	42896000	42921938	ZMYND12
1	ENSG00000066279	197053258	197115824	ASPM
1	ENSG00000066294	160510885	160549306	CD84
1	ENSG00000066322	43829068	43833696	ELOVL1
1	ENSG00000066557	70610488	70671303	LRRC40
1	ENSG00000067208	92974253	93257961	EVI5
1	ENSG00000067334	94333373	94345474	DNTTIP2
1	ENSG00000067533	218458629	218511325	RRP15
1	ENSG00000067606	1981909	2116834	PRKCZ
1	ENSG00000067704	220267444	220321380	IARS2
1	ENSG00000069248	229577045	229644103	NUP133
1	ENSG00000069275	205681947	205719404	NUCKS1
1	ENSG00000069424	6051526	6161253	KCNAB2
1	ENSG00000069702	92145902	92371892	TGFBR3
1	ENSG00000069712	92632542	92650280	KIAA1107
1	ENSG00000069812	6472478	6484730	HES2
1	ENSG00000070759	45809555	45956872	TESK2
1	ENSG00000070785	45316450	45452282	EIF2B3
1	ENSG00000070831	22379120	22419437	CDC42
1	ENSG00000070886	22890057	22930087	EPHA8
1	ENSG00000072694	161551101	161648444	FCGR2B
1	ENSG00000073754	157800704	157868046	CD5L
1	ENSG00000073756	186640923	186649559	PTGS2
1	ENSG00000074800	8921061	8939308	ENO1
1	ENSG00000074964	17866330	18024369	ARHGEF10L
1	ENSG00000075151	21132963	21503377	EIF4G3
1	ENSG00000075391	178062864	178448644	RASAL2
1	ENSG00000075945	169890467	170054349	KIFAP3
1	ENSG00000076258	171283347	171311223	FMO4
1	ENSG00000076321	173684080	173755840	KLHL20
1	ENSG00000076356	208195587	208417665	PLXNA2
1	ENSG00000076864	21922708	21995801	RAP1GAP
1	ENSG00000077152	202300785	202311108	UBE2T
1	ENSG00000077157	202317827	202561834	PPP1R12B
1	ENSG00000077254	78161672	78225537	USP33
1	ENSG00000077522	236849754	236927931	ACTN2
1	ENSG00000077549	19665267	19812066	CAPZB
1	ENSG00000077585	236305832	236385165	GPR137B
1	ENSG00000078369	1716729	1822495	GNB1
1	ENSG00000078618	52254863	52344477	NRD1
1	ENSG00000078808	1152288	1167411	SDF4
1	ENSG00000078900	3569084	3652765	TP73
1	ENSG00000079277	47023090	47082515	MKNK1
1	ENSG00000079335	100810584	100985833	CDC14A
1	ENSG00000079739	64058947	64125916	PGM1
1	ENSG00000080910	196788898	196928356	CFHR2
1	ENSG00000080947	16793931	16825752	CROCCP3
1	ENSG00000081019	114304454	114355098	RSBN1
1	ENSG00000081026	113933371	114228545	MAGI3
1	ENSG00000081237	198607801	198726545	PTPRC
1	ENSG00000081248	201008642	201081694	CACNA1S
1	ENSG00000081277	201252580	201302121	PKP1
1	ENSG00000081692	227918126	227923112	JMJD4
1	ENSG00000081721	161719548	161727028	DUSP12
1	ENSG00000081870	54382247	54411602	HSPB11
1	ENSG00000081985	67773047	67862583	IL12RB2
1	ENSG00000082482	215179118	215410436	KCNK2
1	ENSG00000082497	210406144	210419976	SERTAD4
1	ENSG00000082512	211499957	211548288	TRAF5
1	ENSG00000083444	11994262	12035595	PLOD1
1	ENSG00000084070	40810522	40888998	SMAP2
1	ENSG00000084072	40157854	40229586	PPIE
1	ENSG00000084073	40723779	40759856	ZMPSTE24
1	ENSG00000084623	32687529	32697205	EIF3I
1	ENSG00000084628	31652592	31712401	NKAIN1
1	ENSG00000084636	32117848	32169920	COL16A1
1	ENSG00000084652	32645287	32663886	TXLNA
1	ENSG00000085433	109512836	109584850	WDR47
1	ENSG00000085465	111956936	111970399	OVGP1
1	ENSG00000085491	108676658	108743471	SLC25A24
1	ENSG00000085552	159896829	159915386	IGSF9
1	ENSG00000085831	51752930	51810788	TTC39A
1	ENSG00000085832	51819935	51985000	EPS15
1	ENSG00000085840	52838501	52870131	ORC1
1	ENSG00000085998	46654354	46685977	POMGNT1
1	ENSG00000085999	46713360	46744145	RAD54L
1	ENSG00000086015	46252659	46501796	MAST2
1	ENSG00000086619	236378855	236445319	ERO1LB
1	ENSG00000088035	63833261	63904233	ALG6
1	ENSG00000088280	23755056	23811061	ASAP3
1	ENSG00000090020	27425306	27493472	SLC9A1
1	ENSG00000090104	192544857	192549161	RGS1
1	ENSG00000090273	27226729	27273353	NUDC
1	ENSG00000090432	20825943	20834654	MUL1
1	ENSG00000090621	40026488	40042462	PABPC4
1	ENSG00000090686	22004791	22110099	USP48
1	ENSG00000091483	241660903	241683061	FH
1	ENSG00000092607	119425669	119532179	TBX15
1	ENSG00000092621	120202421	120286838	PHGDH
1	ENSG00000092847	36335409	36395211	AGO1
1	ENSG00000092850	36549676	36553876	TEKT2
1	ENSG00000092853	36185819	36235568	CLSPN
1	ENSG00000092969	218519577	218617961	TGFB2
1	ENSG00000092978	217600334	217804424	GPATCH2
1	ENSG00000094963	171154347	171181822	FMO2
1	ENSG00000094975	172501489	172580971	SUCO
1	ENSG00000097021	6324329	6454451	ACOT7
1	ENSG00000097033	87170259	87213867	SH3GLB1
1	ENSG00000097046	91966408	91991321	CDC7
1	ENSG00000097096	85622556	85666729	SYDE2
1	ENSG00000099260	100111499	100160097	PALMD
1	ENSG00000107404	1270656	1284730	DVL1
1	ENSG00000116128	147013182	147098017	BCL9
1	ENSG00000116132	170631869	170708560	PRRX1
1	ENSG00000116133	55315306	55352891	DHCR24
1	ENSG00000116138	15853308	15918874	DNAJC16
1	ENSG00000116141	220701568	220837803	MARK1
1	ENSG00000116147	175284330	175712906	TNR
1	ENSG00000116151	2252692	2323146	MORN1
1	ENSG00000116157	53068044	53074723	GPX7
1	ENSG00000116161	174968300	174980851	CACYBP
1	ENSG00000116171	53392901	53517375	SCP2
1	ENSG00000116183	176432307	176814735	PAPPA2
1	ENSG00000116191	178694300	178889238	RALGPS2
1	ENSG00000116194	178818840	178840187	ANGPTL1
1	ENSG00000116198	3728645	3773778	CEP104
1	ENSG00000116199	178994939	179045697	FAM20B
1	ENSG00000116205	54519260	54578192	TCEANC2
1	ENSG00000116209	54497347	54519177	TMEM59
1	ENSG00000116212	54411750	54433841	LRRC42
1	ENSG00000116213	3547331	3569325	WRAP73
1	ENSG00000116218	179519674	179545087	NPHS2
1	ENSG00000116221	54649714	54691137	MRPL37
1	ENSG00000116237	6281253	6296032	ICMT
1	ENSG00000116251	6241329	6269449	RPL22
1	ENSG00000116254	6161853	6240183	CHD5
1	ENSG00000116260	180123969	180173165	QSOX1
1	ENSG00000116266	109289296	109352148	STXBP3
1	ENSG00000116273	6673745	6684093	PHF13
1	ENSG00000116285	8064464	8086368	ERRFI1
1	ENSG00000116288	8014351	8045565	PARK7
1	ENSG00000116299	109656301	109749401	KIAA1324
1	ENSG00000116329	29138654	29190208	OPRD1
1	ENSG00000116337	110158726	110174673	AMPD2
1	ENSG00000116350	29474255	29508499	SRSF4
1	ENSG00000116353	29519385	29557454	MECR
1	ENSG00000116396	110753965	110825722	KCNC4
1	ENSG00000116406	184659365	184724047	EDEM3
1	ENSG00000116455	111982512	111991998	WDR77
1	ENSG00000116459	111991486	112005395	ATP5F1
1	ENSG00000116473	112084840	112259313	RAP1A
1	ENSG00000116478	32757687	32799236	HDAC1
1	ENSG00000116489	113161795	113214241	CAPZA1
1	ENSG00000116497	33282368	33324476	S100PBP
1	ENSG00000116514	33402046	33430286	RNF19B
1	ENSG00000116521	155225770	155232221	SCAMP3
1	ENSG00000116525	33611003	33647660	TRIM62
1	ENSG00000116539	155305059	155532598	ASH1L
1	ENSG00000116544	35331037	35395186	DLGAP3
1	ENSG00000116560	35641979	35658749	SFPQ
1	ENSG00000116574	228870824	228882416	RHOU
1	ENSG00000116580	155719508	155829191	GON4L
1	ENSG00000116584	155916630	155976861	ARHGEF2
1	ENSG00000116586	156024543	156028301	LAMTOR2
1	ENSG00000116604	156433519	156470620	MEF2D
1	ENSG00000116641	62920399	63153969	DOCK7
1	ENSG00000116649	11114641	11120081	SRM
1	ENSG00000116652	64014588	64015405	DLEU2L
1	ENSG00000116661	11708424	11715842	FBXO2
1	ENSG00000116663	11724181	11734411	FBXO6
1	ENSG00000116667	184356192	184598154	C1orf21
1	ENSG00000116668	185126212	185260897	SWT1
1	ENSG00000116670	11734537	11751707	MAD2L2
1	ENSG00000116675	65713902	65881552	DNAJC6
1	ENSG00000116678	65886248	66107242	LEPR
1	ENSG00000116679	185265520	185286461	IVNS1ABP
1	ENSG00000116685	11979648	11986485	KIAA2013
1	ENSG00000116688	12040238	12073571	MFN2
1	ENSG00000116690	186265405	186283694	PRG4
1	ENSG00000116691	12079523	12092102	MIIP
1	ENSG00000116698	183441351	183567381	SMG7
1	ENSG00000116701	183524698	183560011	NCF2
1	ENSG00000116703	186412698	186430254	PDC
1	ENSG00000116704	67465015	67519782	SLC35D1
1	ENSG00000116711	186798085	186958113	PLA2G4A
1	ENSG00000116717	68150744	68154021	GADD45A
1	ENSG00000116721	12851546	12856777	PRAMEF1
1	ENSG00000116726	12834984	12838049	PRAMEF12
1	ENSG00000116729	68564142	68698803	WLS
1	ENSG00000116731	14026693	14151574	PRDM2
1	ENSG00000116741	192778169	192781403	RGS2
1	ENSG00000116745	68894505	68915642	RPE65
1	ENSG00000116747	193028552	193060907	TROVE2
1	ENSG00000116748	115215719	115238239	AMPD1
1	ENSG00000116750	192981380	193029237	UCHL5
1	ENSG00000116752	115110178	115124260	BCAS2
1	ENSG00000116754	70671365	70718735	SRSF11
1	ENSG00000116761	70876901	70905534	CTH
1	ENSG00000116771	15898848	15911605	AGMAT
1	ENSG00000116774	114522063	114524876	OLFML3
1	ENSG00000116783	74663947	75010112	TNNI3K
1	ENSG00000116785	196743925	196763203	CFHR3
1	ENSG00000116786	16010827	16061264	PLEKHM2
1	ENSG00000116791	75171170	75199092	CRYZ
1	ENSG00000116793	114239453	114302111	PHTF1
1	ENSG00000116809	16268364	16302627	ZBTB17
1	ENSG00000116815	117057157	117113661	CD58
1	ENSG00000116819	36038971	36060929	TFAP2E
1	ENSG00000116824	117297007	117311850	CD2
1	ENSG00000116830	117602925	117650075	TTF2
1	ENSG00000116833	199996730	200146552	NR5A2
1	ENSG00000116852	200938520	200992828	KIF21B
1	ENSG00000116857	201103900	201140702	TMEM9
1	ENSG00000116863	36554476	36559533	ADPRHL2
1	ENSG00000116871	36621180	36646450	MAP7D1
1	ENSG00000116874	119573839	119683294	WARS2
1	ENSG00000116882	119911402	119936753	HAO2
1	ENSG00000116883	36789335	36794822	RP11-268J15.5
1	ENSG00000116885	36881428	36916086	OSCP1
1	ENSG00000116898	36921319	36930038	MRPS15
1	ENSG00000116903	231468480	231473598	EXOC8
1	ENSG00000116906	231376953	231413719	GNPAT
1	ENSG00000116918	231664399	231702270	TSNAX
1	ENSG00000116922	38147242	38157914	C1orf109
1	ENSG00000116954	39303870	39325495	RRAGC
1	ENSG00000116957	235530675	235612283	TBCE
1	ENSG00000116962	236139130	236228462	NID1
1	ENSG00000116977	236681300	236716281	LGALS8
1	ENSG00000116981	40124793	40137710	NT5C1A
1	ENSG00000116983	40144320	40157361	HPCAL4
1	ENSG00000116984	236958610	237067281	MTR
1	ENSG00000116985	40222854	40254533	BMP8B
1	ENSG00000116990	40361098	40367928	MYCL
1	ENSG00000116991	232533711	232697304	SIPA1L2
1	ENSG00000116996	238045705	238054094	ZP4
1	ENSG00000117000	40627045	40706593	RLF
1	ENSG00000117009	241695434	241758944	KMO
1	ENSG00000117010	40997233	41013841	ZNF684
1	ENSG00000117013	41249684	41306124	KCNQ4
1	ENSG00000117016	41086351	41131329	RIMS3
1	ENSG00000117020	243651535	244014381	AKT3
1	ENSG00000117036	157090983	157108266	ETV3
1	ENSG00000117054	76190036	76253260	ACADM
1	ENSG00000117069	77333126	77531396	ST6GALNAC5
1	ENSG00000117090	160577890	160617085	SLAMF1
1	ENSG00000117091	160648536	160681641	CD48
1	ENSG00000117114	81771845	82458120	LPHN2
1	ENSG00000117115	17393256	17445948	PADI2
1	ENSG00000117118	17345217	17380665	SDHB
1	ENSG00000117122	17300997	17307330	MFAP2
1	ENSG00000117133	84944942	84963473	RPF1
1	ENSG00000117139	202696526	202778598	KDM5B
1	ENSG00000117143	162531323	162569627	UAP1
1	ENSG00000117148	18081808	18153558	ACTL8
1	ENSG00000117151	85015289	85040163	CTBS
1	ENSG00000117152	163038565	163046592	RGS4
1	ENSG00000117153	202860228	202897764	KLHL12
1	ENSG00000117154	18434240	18704977	IGSF21
1	ENSG00000117155	85109390	85156486	SSX2IP
1	ENSG00000117174	86115106	86174116	ZNHIT6
1	ENSG00000117215	20438432	20446050	PLA2G2D
1	ENSG00000117222	205055270	205091143	RBBP5
1	ENSG00000117226	89472349	89488577	GBP3
1	ENSG00000117228	89518002	89531043	GBP1
1	ENSG00000117242	20969150	20978686	PINK1-AS
1	ENSG00000117245	20990507	21044510	KIF17
1	ENSG00000117262	145764411	145827103	GPR89A
1	ENSG00000117266	205473723	205501921	CDK18
1	ENSG00000117280	205737114	205744588	RAB7L1
1	ENSG00000117281	145695798	145715614	CD160
1	ENSG00000117289	145438469	145442635	TXNIP
1	ENSG00000117298	21543740	21671997	ECE1
1	ENSG00000117305	24128375	24165110	HMGCL
1	ENSG00000117308	24122089	24127271	GALE
1	ENSG00000117318	23884409	23886285	ID3
1	ENSG00000117322	207627575	207663240	CR2
1	ENSG00000117335	207925402	207968858	CD46
1	ENSG00000117360	150293925	150325671	PRPF3
1	ENSG00000117362	150237804	150241980	APH1A
1	ENSG00000117385	43212006	43232755	LEPRE1
1	ENSG00000117394	43391052	43424530	SLC2A1
1	ENSG00000117395	43629846	43736607	EBNA1BP2
1	ENSG00000117399	43824626	43828874	CDC20
1	ENSG00000117400	43803478	43818443	MPL
1	ENSG00000117407	44398992	44402913	ARTN
1	ENSG00000117408	44412611	44433694	IPO13
1	ENSG00000117410	44440159	44443967	ATP6V0B
1	ENSG00000117411	44444615	44456840	B4GALT2
1	ENSG00000117419	44686742	44820932	ERI3
1	ENSG00000117425	45285516	45308735	PTCH2
1	ENSG00000117448	46016215	46035721	AKR1A1
1	ENSG00000117450	45976708	45988719	PRDX1
1	ENSG00000117461	46505812	46642160	PIK3R3
1	ENSG00000117472	46640745	46651630	TSPAN1
1	ENSG00000117475	169337208	169365778	BLZF1
1	ENSG00000117477	169364108	169429907	CCDC181
1	ENSG00000117479	169433147	169455241	SLC19A2
1	ENSG00000117480	46859937	46879520	FAAH
1	ENSG00000117481	46805849	46830824	NSUN4
1	ENSG00000117500	93615299	93646285	TMED5
1	ENSG00000117501	170904612	171033906	MROH9
1	ENSG00000117505	93811445	93835055	DR1
1	ENSG00000117507	171106879	171130707	FMO6P
1	ENSG00000117519	95362507	95392834	CNN3
1	ENSG00000117523	171454651	171562650	PRRC2C
1	ENSG00000117525	94994781	95007356	F3
1	ENSG00000117528	94883933	94984222	ABCD3
1	ENSG00000117533	171669300	171711387	VAMP4
1	ENSG00000117543	101455179	101491644	DPH5
1	ENSG00000117560	172628154	172636014	FASLG
1	ENSG00000117569	97187221	97289294	PTBP2
1	ENSG00000117586	173152873	173176452	TNFSF4
1	ENSG00000117592	173446405	173457946	PRDX6
1	ENSG00000117593	173793641	173827684	DARS2
1	ENSG00000117594	209859510	209908295	HSD11B1
1	ENSG00000117595	209959036	209979465	IRF6
1	ENSG00000117597	210001352	210030910	DIEXF
1	ENSG00000117598	99355806	99470588	LPPR5
1	ENSG00000117600	99729509	99775146	LPPR4
1	ENSG00000117601	173872947	173886516	SERPINC1
1	ENSG00000117602	24829387	24867530	RCAN3
1	ENSG00000117614	25549170	25558993	SYF2
1	ENSG00000117616	25568728	25664704	C1orf63
1	ENSG00000117620	100435345	100492535	SLC35A3
1	ENSG00000117625	211431719	211489727	RCOR3
1	ENSG00000117632	26210672	26233482	STMN1
1	ENSG00000117640	26145131	26159432	MTFR1L
1	ENSG00000117643	25943959	26112698	MAN1C1
1	ENSG00000117650	211836114	211848960	NEK2
1	ENSG00000117676	26856252	26901521	RPS6KA1
1	ENSG00000117682	26758773	26797785	DHDDS
1	ENSG00000117691	212606229	212619714	NENF
1	ENSG00000117697	212899495	212965124	NSL1
1	ENSG00000117707	214156524	214214595	PROX1
1	ENSG00000117713	27022524	27108595	ARID1A
1	ENSG00000117724	214776538	214837931	CENPF
1	ENSG00000117748	28218035	28241257	RPA2
1	ENSG00000117751	28157289	28178187	PPP1R8
1	ENSG00000117758	28099694	28150963	STX12
1	ENSG00000117791	220921567	220958150	MARC2
1	ENSG00000117834	48688357	48714316	SLC5A9
1	ENSG00000117859	52042851	52254889	OSBPL9
1	ENSG00000117862	52485803	52521843	TXNDC12
1	ENSG00000118193	200520628	200589862	KIF14
1	ENSG00000118194	201328136	201346890	TNNT2
1	ENSG00000118197	200593024	200639097	DDX59
1	ENSG00000118200	200708686	200829832	CAMSAP2
1	ENSG00000118217	161736084	161933860	ATF6
1	ENSG00000118292	150240600	150253327	C1orf54
1	ENSG00000118298	150229554	150237478	CA14
1	ENSG00000118454	70726271	70820417	ANKRD13C
1	ENSG00000118473	66999066	67213982	SGIP1
1	ENSG00000118655	114447763	114456708	DCLRE1B
1	ENSG00000118729	116242628	116311402	CASQ2
1	ENSG00000118733	102268130	102462586	OLFM3
1	ENSG00000118873	220321635	220445796	RAB3GAP2
1	ENSG00000119280	230972865	231005335	C1orf198
1	ENSG00000119283	231297858	231357302	TRIM67
1	ENSG00000119285	236712305	236767804	HEATR1
1	ENSG00000119535	36931644	36948879	CSF3R
1	ENSG00000120332	175036994	175117202	TNN
1	ENSG00000120333	174979925	174992561	MRPS14
1	ENSG00000120334	173768688	173793858	CENPL
1	ENSG00000120337	173009100	173020103	TNFSF18
1	ENSG00000120341	177893091	177953438	SEC16B
1	ENSG00000120370	170501270	170522587	GORAB
1	ENSG00000120656	28915835	28969597	TAF12
1	ENSG00000120937	11917521	11918988	NPPB
1	ENSG00000120942	11333263	11356106	UBIAD1
1	ENSG00000120948	11072414	11085796	TARDBP
1	ENSG00000120949	12123434	12204264	TNFRSF8
1	ENSG00000120952	12916941	12921764	PRAMEF2
1	ENSG00000121310	53361656	53392884	ECHDC2
1	ENSG00000121446	182419256	182529734	RGSL1
1	ENSG00000121454	180199421	180249380	LHX4
1	ENSG00000121481	185014496	185071740	RNF2
1	ENSG00000121486	185087220	185126204	TRMT1L
1	ENSG00000121634	147374946	147381393	GJA8
1	ENSG00000121644	244816237	244872335	DESI2
1	ENSG00000121753	32192718	32230494	BAI2
1	ENSG00000121764	32083287	32098119	HCRTR1
1	ENSG00000121766	31769842	31837783	ZCCHC17
1	ENSG00000121769	31838472	31849697	FABP3
1	ENSG00000121774	32479430	32526451	KHDRBS1
1	ENSG00000121775	32537632	32568467	TMEM39B
1	ENSG00000121848	145611036	145696218	RNF115
1	ENSG00000121851	145456236	145470388	POLR3GL
1	ENSG00000121900	33360195	33367039	TMEM54
1	ENSG00000121903	33938246	33962107	ZSCAN20
1	ENSG00000121904	33979609	34631443	CSMD2
1	ENSG00000121905	33351595	33364042	HPCA
1	ENSG00000121931	111489807	111506701	LRIF1
1	ENSG00000121933	112025970	112106584	ADORA3
1	ENSG00000121940	109472130	109506111	CLCC1
1	ENSG00000121957	109417972	109477167	GPSM2
1	ENSG00000122176	203309756	203320617	FMOD
1	ENSG00000122180	203052260	203055164	MYOG
1	ENSG00000122188	203734304	203745361	LAX1
1	ENSG00000122218	160259063	160313190	COPA
1	ENSG00000122223	160799950	160832692	CD244
1	ENSG00000122224	160765864	160798051	LY9
1	ENSG00000122406	93297582	93307481	RPL5
1	ENSG00000122417	86814344	86862023	ODF2L
1	ENSG00000122420	78769568	79005434	PTGFR
1	ENSG00000122432	84971974	85031877	SPATA1
1	ENSG00000122435	100598706	100616053	TRMT13
1	ENSG00000122477	100614409	100643771	LRRC39
1	ENSG00000122481	95699711	95712781	RWDD3
1	ENSG00000122482	91380859	91487829	ZNF644
1	ENSG00000122483	93645476	93744287	CCDC18
1	ENSG00000122484	92764522	92867613	RPAP2
1	ENSG00000122497	148003642	148025863	NBPF14
1	ENSG00000123080	51426417	51440305	CDKN2C
1	ENSG00000123091	51701943	51739127	RNF11
1	ENSG00000123472	47098409	47139539	ATPAF1
1	ENSG00000123473	47715811	47779819	STIL
1	ENSG00000123684	211916799	212004114	LPGAT1
1	ENSG00000123685	212859760	212873327	BATF3
1	ENSG00000123689	209848765	209849733	G0S2
1	ENSG00000123836	207222801	207254369	PFKFB2
1	ENSG00000123838	207277607	207318317	C4BPA
1	ENSG00000123843	207262187	207273338	C4BPB
1	ENSG00000125459	155579979	155718153	MSTO1
1	ENSG00000125462	156374042	156400493	C1orf61
1	ENSG00000125703	63249806	63331184	ATG4C
1	ENSG00000125944	23630264	23670829	HNRNPR
1	ENSG00000125945	23685941	23695935	ZNF436
1	ENSG00000126067	36067185	36107445	PSMB2
1	ENSG00000126070	36396319	36538101	AGO3
1	ENSG00000126088	45477819	45481247	UROD
1	ENSG00000126091	44171495	44396831	ST3GAL3
1	ENSG00000126106	45100910	45140227	TMEM53
1	ENSG00000126107	45468212	45477001	HECTD3
1	ENSG00000126698	28525967	28559536	DNAJC8
1	ENSG00000126705	27860546	27930942	AHDC1
1	ENSG00000126709	27992572	27998729	IFI6
1	ENSG00000127054	1246965	1260071	CPSF3L
1	ENSG00000127074	192605275	192629390	RGS13
1	ENSG00000127124	41972036	42501596	HIVEP3
1	ENSG00000127125	42921788	42939056	PPCS
1	ENSG00000127129	41944446	41950344	EDN2
1	ENSG00000127423	26158414	26185903	AUNIP
1	ENSG00000127463	19542158	19578046	EMC1
1	ENSG00000127472	20354672	20417683	PLA2G5
1	ENSG00000127481	19401000	19536770	UBR4
1	ENSG00000127483	21069154	21113816	HP1BP3
1	ENSG00000127603	39546988	39952849	MACF1
1	ENSG00000130695	26560691	26605299	CEP85
1	ENSG00000130762	3370990	3397677	ARHGEF16
1	ENSG00000130764	3696784	3713068	LRRC47
1	ENSG00000130766	28586038	28609002	SESN2
1	ENSG00000130768	28261504	28285668	SMPDL3B
1	ENSG00000130770	28562620	28573417	ATPIF1
1	ENSG00000130772	28655513	28662476	MED18
1	ENSG00000130775	28199055	28213196	THEMIS2
1	ENSG00000130939	10092890	10241297	UBE4B
1	ENSG00000130940	10696661	10856707	CASZ1
1	ENSG00000131233	39330175	39347289	GJA9
1	ENSG00000131236	40505905	40538321	CAP1
1	ENSG00000131238	40538379	40563375	PPT1
1	ENSG00000131584	1227756	1244989	ACAP3
1	ENSG00000131591	1017198	1051741	C1orf159
1	ENSG00000131686	9005926	9035151	CA6
1	ENSG00000131697	5922871	6052533	NPHP4
1	ENSG00000131778	146714291	146767443	CHD1L
