Chromosome/scaffold name	Gene stable ID	Gene start (bp)	Gene end (bp)	Gene name
1	CATG00000109532.1	36107226	36107717	CATG00000109532.1
1	CATG00000054939.1	36617930	36621466	CATG00000054939.1
1	CATG00000054989.1	36688706	36689705	CATG00000054989.1
1	CATG00000112099.1	36695038	36699226	CATG00000112099.1
1	CATG00000112270.1	36851791	36854327	CATG00000112270.1
1	CATG00000112575.1	36863633	36865439	CATG00000112575.1
1	CATG00000112734.1	36866864	36900599	CATG00000112734.1
1	CATG00000112861.1	36916227	36917853	CATG00000112861.1
1	CATG00000113188.1	36930106	36930641	CATG00000113188.1
1	CATG00000055144.1	37568917	37618279	CATG00000055144.1
1	ENSG00000223944.1	37728339	37790699	RP5-1180C18.1
1	CATG00000114955.1	37791754	37792189	CATG00000114955.1
1	ENSG00000233621.1	37913909	37939968	RP11-422J8.1
1	CATG00000115245.1	37984642	37986917	CATG00000115245.1
1	ENSG00000230955.1	38325435	38327252	RP11-109P14.10
1	ENSG00000224592.1	38512611	38522719	RP5-884C9.2
1	ENSG00000228436.2	39325595	39345161	RP5-864K19.4
1	CATG00000055528.1	39490682	39491916	CATG00000055528.1
1	CATG00000116213.1	39581173	39583664	CATG00000116213.1
1	CATG00000116216.1	39612625	39613055	CATG00000116216.1
1	ENSG00000261798.1	40265112	40270809	RP1-118J21.25
1	CATG00000116318.1	40349241	40350294	CATG00000116318.1
1	CATG00000055817.1	40479598	40505558	CATG00000055817.1
1	CATG00000055862.1	40613345	40626929	CATG00000055862.1
1	CATG00000116478.1	40644321	40650755	CATG00000116478.1
1	ENSG00000259943.1	40719057	40723620	RP1-39G22.7
1	CATG00000116498.1	40729422	40732822	CATG00000116498.1
1	CATG00000055942.1	40942468	40942884	CATG00000055942.1
1	ENSG00000238287.1	40951046	40974354	RP11-656D10.3
1	CATG00000055976.1	40996507	40997159	CATG00000055976.1
1	CATG00000055988.1	41022776	41023516	CATG00000055988.1
1	ENSG00000272145.1	41150997	41157738	RP4-739H11.4
1	CATG00000116595.1	41349782	41374240	CATG00000116595.1
1	CATG00000056075.1	41360800	41365273	CATG00000056075.1
1	ENSG00000235358.1	41707574	41730268	RP11-399E6.1
1	CATG00000116828.1	41898870	41930536	CATG00000116828.1
1	CATG00000116959.1	42194483	42197620	CATG00000116959.1
1	CATG00000117050.1	42501817	42502987	CATG00000117050.1
1	CATG00000117114.1	42801045	42804597	CATG00000117114.1
1	CATG00000056283.1	43137612	43147827	CATG00000056283.1
1	ENSG00000228192.3	43296694	43312093	RP11-342M1.3
1	CATG00000117297.1	43390130	43390504	CATG00000117297.1
1	ENSG00000227533.1	43423947	43430985	SLC2A1-AS1
1	ENSG00000234694.1	43817279	43824344	RP1-92O14.3
1	ENSG00000229431.1	43833882	43840143	RP1-92O14.6
1	ENSG00000229348.1	43919554	43922666	HYI-AS1
1	ENSG00000236200.1	44160517	44173009	KDM4A-AS1
1	ENSG00000237950.1	44402687	44412271	RP11-7O11.3
1	CATG00000056966.1	44439034	44440486	CATG00000056966.1
1	ENSG00000230615.2	44496111	44506113	RP5-1198O20.4
1	CATG00000057088.1	44672771	44679050	CATG00000057088.1
1	CATG00000057135.1	45095408	45097565	CATG00000057135.1
1	ENSG00000225721.1	45224795	45241518	RP11-269F19.2
1	CATG00000117817.1	45238317	45239219	CATG00000117817.1
1	CATG00000117907.1	45452462	45458153	CATG00000117907.1
1	CATG00000117948.1	45769547	45770280	CATG00000117948.1
1	CATG00000117967.1	45781914	45783154	CATG00000117967.1
1	CATG00000118048.1	45987745	45988644	CATG00000118048.1
1	CATG00000057430.1	46008076	46008428	CATG00000057430.1
1	CATG00000057458.1	46016024	46016412	CATG00000057458.1
1	CATG00000057476.1	46040068	46049605	CATG00000057476.1
1	CATG00000057492.1	46080560	46081079	CATG00000057492.1
1	CATG00000118146.1	46598839	46599064	CATG00000118146.1
1	ENSG00000250719.1	46636712	46642160	RP11-322N21.2
1	CATG00000057710.1	46804408	46806347	CATG00000057710.1
1	CATG00000118416.1	47070123	47072931	CATG00000118416.1
1	ENSG00000225506.2	47561149	47644858	CYP4A22-AS1
1	ENSG00000224805.2	47644967	47645718	LINC00853
1	ENSG00000237424.1	47890219	47903367	FOXD2-AS1
1	ENSG00000227947.1	47903425	47908205	RP11-543D5.1
1	CATG00000058217.1	50782664	50786796	CATG00000058217.1
1	CATG00000000666.1	50889674	50890619	CATG00000000666.1
1	ENSG00000203356.2	51658189	51701867	RP11-296A18.3
1	CATG00000058318.1	51702357	51702565	CATG00000058318.1
1	CATG00000000809.1	51767953	51768199	CATG00000000809.1
1	ENSG00000261664.1	51795344	51800996	RP11-275F13.1
1	ENSG00000227070.1	51983943	52026633	RP11-191G24.1
1	CATG00000000858.1	52344683	52346022	CATG00000000858.1
1	CATG00000058545.1	52914294	52921278	CATG00000058545.1
1	ENSG00000272371.1	53019227	53025306	RP11-25O10.2
1	ENSG00000259818.1	53686370	53689925	RP5-1024G6.7
1	ENSG00000226754.1	53704268	53705601	RP5-1024G6.5
1	ENSG00000225675.2	53793894	53802181	RP4-784A16.5
1	ENSG00000230138.1	53808697	53833821	RP11-117D22.2
1	ENSG00000225632.1	54751083	54753044	RP5-997D24.3
1	ENSG00000242396.1	55352487	55353674	RP11-67L3.5
1	ENSG00000233203.2	55353071	55354336	RP11-67L3.4
1	ENSG00000231090.1	55681095	55683027	RP11-101C11.1
1	ENSG00000234810.1	56046784	56197136	RP11-466L17.1
1	ENSG00000223956.1	56880610	56881638	RP4-710M16.2
1	CATG00000002243.1	57906109	57906775	CATG00000002243.1
1	ENSG00000226759.3	58326265	58328450	RP4-737A23.2
1	ENSG00000234807.4	59249933	59366794	RP4-794H19.2
1	ENSG00000232453.1	59306837	59369781	RP4-794H19.1
1	ENSG00000230812.1	59486153	59488692	RP4-794H19.4
1	ENSG00000237352.2	59486153	59569751	RP11-145M4.3
1	ENSG00000224609.2	59597607	59612519	RP11-470E16.1
1	ENSG00000270457.1	59754928	59762202	RP11-467C18.1
1	ENSG00000231252.1	61026222	61333659	RP11-436K8.1
1	ENSG00000237928.1	61405910	61436412	RP4-668G5.1
1	ENSG00000237853.2	61713388	61719175	RP5-833A20.1
1	CATG00000060595.1	62899019	62901929	CATG00000060595.1
1	ENSG00000235545.1	63153544	63181211	RP11-230B22.1
1	ENSG00000224209.2	63624741	63782919	LINC00466
1	ENSG00000230798.1	63785320	63789413	RP4-792G4.2
1	CATG00000061114.1	65384706	65394460	CATG00000061114.1
1	ENSG00000226891.2	65445259	65468119	RP11-182I10.3
1	ENSG00000231485.1	65527308	65533429	RP4-535B20.1
1	CATG00000003309.1	66628017	66628935	CATG00000003309.1
1	CATG00000061445.1	66858327	66863041	CATG00000061445.1
1	CATG00000003441.1	66882223	66882739	CATG00000003441.1
1	CATG00000061441.1	66935902	67030047	CATG00000061441.1
1	CATG00000061698.1	68152010	68153720	CATG00000061698.1
1	ENSG00000232284.3	68297985	68339162	GNG12-AS1
1	CATG00000061804.1	68790543	68849937	CATG00000061804.1
1	ENSG00000233589.1	68851156	68857667	RP4-694A7.2
1	ENSG00000234264.1	68962378	69004296	RP4-694A7.4
1	CATG00000061961.1	70504371	70507936	CATG00000061961.1
1	ENSG00000226088.1	70821454	70826120	RP11-180O5.2
1	CATG00000062115.1	70876014	70876741	CATG00000062115.1
1	ENSG00000235782.1	71413067	71417176	RP3-333A15.1
1	ENSG00000229956.5	71547035	71566603	ZRANB2-AS2
1	ENSG00000224127.1	75587748	75599692	RP11-510C10.2
1	ENSG00000224149.1	75595658	75598406	RP11-510C10.3
1	CATG00000063171.1	76030316	76038811	CATG00000063171.1
1	CATG00000063349.1	76539056	76540257	CATG00000063349.1
1	CATG00000004923.1	77685166	77687141	CATG00000004923.1
1	CATG00000004972.1	78149357	78150167	CATG00000004972.1
1	ENSG00000235927.2	78346454	78354943	NEXN-AS1
1	ENSG00000273338.1	78449475	78470238	RP11-386I14.4
1	ENSG00000237413.1	78695282	78759574	RP11-183M13.1
1	CATG00000063813.1	79896150	79959498	CATG00000063813.1
1	ENSG00000234184.1	81001420	81112473	RP5-887A10.1
1	CATG00000064271.1	82999580	83313888	CATG00000064271.1
1	ENSG00000233008.1	83980873	84120636	RP11-475O6.1
1	CATG00000005871.1	83982417	84022006	CATG00000005871.1
1	CATG00000005894.1	84232101	84296986	CATG00000005894.1
1	ENSG00000271576.1	84540199	84543638	RP11-486G15.2
1	CATG00000064388.1	84736207	84764915	CATG00000064388.1
1	CATG00000064422.1	84825657	84944893	CATG00000064422.1
1	CATG00000064470.1	85063634	85086717	CATG00000064470.1
1	CATG00000006010.1	85156388	85157530	CATG00000006010.1
1	CATG00000006079.1	85666853	85669178	CATG00000006079.1
1	ENSG00000223653.1	85741549	85742016	RP11-131L23.1
1	CATG00000006211.1	86073372	86081580	CATG00000006211.1
1	CATG00000006240.1	86173507	86174080	CATG00000006240.1
1	ENSG00000261737.1	87158129	87171037	RP4-612B15.3
1	CATG00000064889.1	87238503	87240114	CATG00000064889.1
1	CATG00000006667.1	87240348	87241915	CATG00000006667.1
1	ENSG00000267272.1	87595526	87600152	RP5-1052I5.1
1	CATG00000006749.1	87668749	87688087	CATG00000006749.1
1	CATG00000065239.1	88151804	88292423	CATG00000065239.1
1	CATG00000065494.1	88778826	88779124	CATG00000065494.1
1	CATG00000006970.1	88928403	88932104	CATG00000006970.1
1	CATG00000007179.1	89524530	89535102	CATG00000007179.1
1	CATG00000007185.1	89593617	89595571	CATG00000007185.1
1	CATG00000007296.1	89740305	89741269	CATG00000007296.1
1	ENSG00000231999.2	90048799	90098465	RP5-1007M22.2
1	ENSG00000272931.1	90284366	90287353	RP5-943J3.2
1	ENSG00000229201.1	90751464	90885642	RP5-827O9.1
1	CATG00000007573.1	90978889	90979342	CATG00000007573.1
1	CATG00000007682.1	91183742	91185013	CATG00000007682.1
1	ENSG00000233593.2	91247874	91301676	RP4-665J23.1
1	ENSG00000225446.1	91317327	91319843	RP4-665J23.2
1	CATG00000007843.1	91852871	91853148	CATG00000007843.1
1	CATG00000066419.1	91967006	92035479	CATG00000066419.1
1	CATG00000066476.1	92486868	92495944	CATG00000066476.1
1	CATG00000066556.1	92822449	92907500	CATG00000066556.1
1	CATG00000008353.1	93427148	93429219	CATG00000008353.1
1	CATG00000066639.1	93427665	93428047	CATG00000066639.1
1	CATG00000066666.1	93544193	93544656	CATG00000066666.1
1	CATG00000066704.1	93639926	93640592	CATG00000066704.1
1	ENSG00000223745.3	93727258	93811347	RP4-717I23.3
1	ENSG00000224093.1	94057524	94060341	RP5-1033H22.2
1	CATG00000066798.1	94158134	94158603	CATG00000066798.1
1	ENSG00000230439.2	94218479	94240940	RP11-488P3.1
1	ENSG00000260464.1	94312317	94314495	RP4-561L24.3
1	CATG00000008499.1	94344870	94345534	CATG00000008499.1
1	CATG00000008686.1	94535527	94552018	CATG00000008686.1
1	ENSG00000231363.1	94713425	94713899	RP11-148B18.1
1	ENSG00000226835.1	94798804	94800404	RP11-148B18.3
1	CATG00000008892.1	94998724	94999401	CATG00000008892.1
1	CATG00000008928.1	95007529	95009558	CATG00000008928.1
1	CATG00000067103.1	95066815	95068082	CATG00000067103.1
1	ENSG00000224081.3	95090107	95285713	LINC01057
1	ENSG00000237416.2	95302303	95320973	RP11-465K1.2
1	ENSG00000235501.1	95391557	95429280	RP4-639F20.1
1	CATG00000009016.1	95538563	95539356	CATG00000009016.1
1	ENSG00000226026.1	95628614	95699535	RP11-57H12.3
1	ENSG00000228971.2	95975698	95980285	RP11-286B14.1
1	ENSG00000271252.1	96208651	96225026	RP11-286B14.2
1	CATG00000009165.1	96526491	96529548	CATG00000009165.1
1	ENSG00000225206.4	98389009	98515549	MIR137HG
1	ENSG00000226053.1	98518790	98661044	RP5-1070A16.1
1	CATG00000067812.1	98870907	98871543	CATG00000067812.1
1	CATG00000067880.1	99126683	99127156	CATG00000067880.1
1	ENSG00000224445.2	99886003	99999585	RP11-413P11.1
1	ENSG00000228084.1	100378469	100503564	RP5-884G6.2
1	ENSG00000224616.1	100723574	100731672	RP11-305E17.6
1	CATG00000068349.1	100815911	100817902	CATG00000068349.1
1	ENSG00000273204.1	101360469	101360912	RP4-549L20.3
1	ENSG00000233184.2	101491462	101543491	RP11-421L21.3
1	CATG00000010350.1	101616178	101641083	CATG00000010350.1
1	ENSG00000225938.1	101693047	101702172	RP4-575N6.4
1	CATG00000068537.1	101761870	101774698	CATG00000068537.1
1	ENSG00000224613.2	103803463	104068124	RP11-153F1.1
1	ENSG00000215869.3	104615627	104619709	RP11-364B6.1
1	CATG00000011086.1	104695929	104696173	CATG00000011086.1
1	CATG00000069743.1	107589161	107599237	CATG00000069743.1
1	CATG00000069784.1	107943468	108093167	CATG00000069784.1
1	CATG00000011737.1	108113512	108116111	CATG00000011737.1
1	ENSG00000230489.1	108506676	108507167	VAV3-AS1
1	ENSG00000226822.1	108592949	108593644	RP11-356N1.2
1	ENSG00000260879.1	108742540	108744113	RP11-483I13.5
1	CATG00000070139.1	109101871	109102495	CATG00000070139.1
1	CATG00000011913.1	109203582	109209432	CATG00000011913.1
1	CATG00000070161.1	109231548	109234821	CATG00000070161.1
1	CATG00000012065.1	109618671	109619075	CATG00000012065.1
1	ENSG00000273382.1	109629715	109633243	RP5-1065J22.8
1	ENSG00000270066.2	109642820	109643234	SCARNA2
1	CATG00000070338.1	109781415	109782709	CATG00000070338.1
1	CATG00000012184.1	109969434	109972494	CATG00000012184.1
1	CATG00000070500.1	109988182	109988966	CATG00000070500.1
1	CATG00000070588.1	110084513	110091131	CATG00000070588.1
1	ENSG00000261055.1	110438820	110440483	RP11-195M16.3
1	ENSG00000258673.1	110625315	110652341	RP4-773N10.6
1	ENSG00000227963.1	110825220	110881778	RP5-1074L1.1
1	ENSG00000224699.4	110949975	110967265	LAMTOR5-AS1
1	CATG00000012759.1	111050812	111069246	CATG00000012759.1
1	CATG00000071501.1	111187822	111188729	CATG00000071501.1
1	ENSG00000259834.1	111196165	111217440	RP11-284N8.3
1	CATG00000012771.1	111214930	111217179	CATG00000012771.1
1	ENSG00000273010.1	111505937	111507271	RP11-96K19.5
1	ENSG00000227811.2	112281228	112288780	RP4-773A18.4
1	ENSG00000231437.3	112532155	112541971	RP11-88H9.2
1	ENSG00000231246.1	112719594	112903229	RP5-965F6.2
1	CATG00000071908.1	112937557	112938643	CATG00000071908.1
1	CATG00000013219.1	113305276	113361135	CATG00000013219.1
1	ENSG00000215866.3	113362533	113392411	RP11-426L16.8
1	ENSG00000224167.1	113392487	113393604	RP3-522D1.1
1	CATG00000013225.1	113456625	113457106	CATG00000013225.1
1	ENSG00000226419.2	113499082	113506658	RP11-31F15.1
1	ENSG00000238198.1	113549308	113615719	RP11-31F15.2
1	ENSG00000231128.1	114355236	114356220	RP5-1073O3.2
1	ENSG00000235527.2	114466587	114471890	RP5-1073O3.7
1	CATG00000013679.1	115053902	115058555	CATG00000013679.1
1	CATG00000072417.1	115082175	115082712	CATG00000072417.1
1	CATG00000013738.1	115124463	115128385	CATG00000013738.1
1	CATG00000013771.1	115259055	115265135	CATG00000013771.1
1	CATG00000013855.1	115322730	115323287	CATG00000013855.1
1	ENSG00000233730.1	115642208	115645258	RP4-666F24.3
1	ENSG00000228035.1	115722493	115775683	RP4-663N10.1
1	CATG00000072662.1	115871284	115872044	CATG00000072662.1
1	CATG00000014045.1	116048163	116079792	CATG00000014045.1
1	CATG00000072715.1	116369893	116371298	CATG00000072715.1
1	CATG00000014104.1	116372140	116372881	CATG00000014104.1
1	CATG00000072770.1	116464778	116519458	CATG00000072770.1
1	CATG00000072880.1	116930700	116931335	CATG00000072880.1
1	ENSG00000203865.5	116934868	116961215	ATP1A1OS
1	ENSG00000233154.1	116966345	117021498	RP4-655J12.4
1	ENSG00000224950.1	117020673	117047079	RP5-1086K13.1
1	ENSG00000236137.1	117566113	117602117	RP11-27K13.3
1	ENSG00000271427.1	117905424	117909921	RP11-188D8.1
1	ENSG00000236866.1	118139453	118148392	AL157902.3
1	CATG00000073253.1	118193811	118197246	CATG00000073253.1
1	CATG00000073385.1	119086497	119400989	CATG00000073385.1
1	ENSG00000226172.2	119542966	119544012	RP4-712E4.1
1	CATG00000073400.1	119675498	119676941	CATG00000073400.1
1	ENSG00000231365.1	119683039	119684823	RP11-418J17.1
